Category,Est_Young_Male_Pop,Unique_Young_Men,Annual_Risk_Pct
Ultra-Policed,26904.4,4864,1.72454731128143
Highly Policed,62190.4,5097,0.7818008561695412
Normally Policed,314992.80000000005,2683,0.08125028705154369
