policing_category,total_pop,total_arrests,discretionary_arrests,unique_individuals,num_blockgroups,white_pop,black_pop,hispanic_pop,pop_pct,disc_per_1000,total_per_1000,unique_per_1000
Highly Policed,310952,42848,15974.0,13373,150,200460,86459,19331,15.39032625599004,51.371272736628164,137.79618719287865,43.0066376804137
Normally Policed,1574964,17917,7044.0,6509,823,1019518,460955,82208,77.95161247214712,4.472483180567937,11.376133041771112,4.13279287653559
Ultra-Policed,134522,51076,21522.0,13554,103,66906,59061,11048,6.658061271862834,159.9887007329656,379.68510726869954,100.75675354217154
